time_s,q1_rad,q2_rad,q3_cm,dq1_rad_s,dq2_rad_s,dq3_cm_s,ddq1_rad_s2,ddq2_rad_s2,ddq3_cm_s2
0,1.98568553831322,-1.54179699614173,-3,0,0,0,0,0,8
0.01,1.98568553831322,-1.54179699614173,-2.9996,0,0,0.08,0,0,8
0.02,1.98568553831322,-1.54179699614173,-2.9984,0,0,0.16,0,0,8
0.03,1.98568553831322,-1.54179699614173,-2.9964,0,0,0.24,0,0,8
0.04,1.98568553831322,-1.54179699614173,-2.9936,0,0,0.32,0,0,8
0.05,1.98568553831322,-1.54179699614173,-2.99,0,0,0.4,0,0,8
0.06,1.98568553831322,-1.54179699614173,-2.9856,0,0,0.48,0,0,8
0.07,1.98568553831322,-1.54179699614173,-2.9804,0,0,0.56,0,0,8
0.08,1.98568553831322,-1.54179699614173,-2.9744,0,0,0.64,0,0,8
0.09,1.98568553831322,-1.54179699614173,-2.9676,0,0,0.72,0,0,8
0.1,1.98568553831322,-1.54179699614173,-2.96,0,0,0.8,0,0,8
0.11,1.98568553831322,-1.54179699614173,-2.9516,0,0,0.88,0,0,8
0.12,1.98568553831322,-1.54179699614173,-2.9424,0,0,0.96,0,0,8
0.13,1.98568553831322,-1.54179699614173,-2.9324,0,0,1.04,0,0,8
0.14,1.98568553831322,-1.54179699614173,-2.9216,0,0,1.12,0,0,8
0.15,1.98568553831322,-1.54179699614173,-2.91,0,0,1.2,0,0,8
0.16,1.98568553831322,-1.54179699614173,-2.8976,0,0,1.28,0,0,8
0.17,1.98568553831322,-1.54179699614173,-2.8844,0,0,1.36,0,0,8
0.18,1.98568553831322,-1.54179699614173,-2.8704,0,0,1.44,0,0,8
0.19,1.98568553831322,-1.54179699614173,-2.8556,0,0,1.52,0,0,8
0.2,1.98568553831322,-1.54179699614173,-2.84,0,0,1.6,0,0,8
0.21,1.98568553831322,-1.54179699614173,-2.8236,0,0,1.68,0,0,8
0.22,1.98568553831322,-1.54179699614173,-2.8064,0,0,1.76,0,0,8
0.23,1.98568553831322,-1.54179699614173,-2.7884,0,0,1.84,0,0,8
0.24,1.98568553831322,-1.54179699614173,-2.7696,0,0,1.92,0,0,8
0.25,1.98568553831322,-1.54179699614173,-2.75,0,0,2,0,0,8
0.26,1.98568553831322,-1.54179699614173,-2.7296,0,0,2.08,0,0,8
0.27,1.98568553831322,-1.54179699614173,-2.7084,0,0,2.16,0,0,8
0.28,1.98568553831322,-1.54179699614173,-2.6864,0,0,2.24,0,0,8
0.29,1.98568553831322,-1.54179699614173,-2.6636,0,0,2.32,0,0,8
0.3,1.98568553831322,-1.54179699614173,-2.64,0,0,2.4,0,0,8
0.31,1.98568553831322,-1.54179699614173,-2.6156,0,0,2.48,0,0,8
0.32,1.98568553831322,-1.54179699614173,-2.5904,0,0,2.56,0,0,8
0.33,1.98568553831322,-1.54179699614173,-2.5644,0,0,2.64,0,0,8
0.34,1.98568553831322,-1.54179699614173,-2.5376,0,0,2.72,0,0,8
0.35,1.98568553831322,-1.54179699614173,-2.51,0,0,2.8,0,0,8
0.36,1.98568553831322,-1.54179699614173,-2.4816,0,0,2.88,0,0,8
0.37,1.98568553831322,-1.54179699614173,-2.4524,0,0,2.96,0,0,8
0.38,1.98568553831322,-1.54179699614173,-2.4224,0,0,3.04,0,0,8
0.39,1.98568553831322,-1.54179699614173,-2.3916,0,0,3.12,0,0,8
0.4,1.98568553831322,-1.54179699614173,-2.36,0,0,3.2,0,0,8
0.41,1.98568553831322,-1.54179699614173,-2.3276,0,0,3.28,0,0,8
0.42,1.98568553831322,-1.54179699614173,-2.2944,0,0,3.36,0,0,8
0.43,1.98568553831322,-1.54179699614173,-2.2604,0,0,3.44,0,0,8
0.44,1.98568553831322,-1.54179699614173,-2.2256,0,0,3.52,0,0,8
0.45,1.98568553831322,-1.54179699614173,-2.19,0,0,3.6,0,0,8
0.46,1.98568553831322,-1.54179699614173,-2.1536,0,0,3.68,0,0,8
0.47,1.98568553831322,-1.54179699614173,-2.1164,0,0,3.76,0,0,8
0.48,1.98568553831322,-1.54179699614173,-2.0784,0,0,3.84,0,0,8
0.49,1.98568553831322,-1.54179699614173,-2.0396,0,0,3.92,0,0,8
0.5,1.98568553831322,-1.54179699614173,-2,0,0,4,0,0,8
0.51,1.98568553831322,-1.54179699614173,-1.9604,0,0,3.92,0,0,-8
0.52,1.98568553831322,-1.54179699614173,-1.9216,0,0,3.84,0,0,-8
0.53,1.98568553831322,-1.54179699614173,-1.8836,0,0,3.76,0,0,-8
0.54,1.98568553831322,-1.54179699614173,-1.8464,0,0,3.68,0,0,-8
0.55,1.98568553831322,-1.54179699614173,-1.81,0,0,3.6,0,0,-8
0.56,1.98568553831322,-1.54179699614173,-1.7744,0,0,3.52,0,0,-8
0.57,1.98568553831322,-1.54179699614173,-1.7396,0,0,3.44,0,0,-8
0.58,1.98568553831322,-1.54179699614173,-1.7056,0,0,3.36,0,0,-8
0.59,1.98568553831322,-1.54179699614173,-1.6724,0,0,3.28,0,0,-8
0.6,1.98568553831322,-1.54179699614173,-1.64,0,0,3.2,0,0,-8
0.61,1.98568553831322,-1.54179699614173,-1.6084,0,0,3.12,0,0,-8
0.62,1.98568553831322,-1.54179699614173,-1.5776,0,0,3.04,0,0,-8
0.63,1.98568553831322,-1.54179699614173,-1.5476,0,0,2.96,0,0,-8
0.64,1.98568553831322,-1.54179699614173,-1.5184,0,0,2.88,0,0,-8
0.65,1.98568553831322,-1.54179699614173,-1.49,0,0,2.8,0,0,-8
0.66,1.98568553831322,-1.54179699614173,-1.4624,0,0,2.72,0,0,-8
0.67,1.98568553831322,-1.54179699614173,-1.4356,0,0,2.64,0,0,-8
0.68,1.98568553831322,-1.54179699614173,-1.4096,0,0,2.56,0,0,-8
0.69,1.98568553831322,-1.54179699614173,-1.3844,0,0,2.48,0,0,-8
0.7,1.98568553831322,-1.54179699614173,-1.36,0,0,2.4,0,0,-8
0.71,1.98568553831322,-1.54179699614173,-1.3364,0,0,2.32,0,0,-8
0.72,1.98568553831322,-1.54179699614173,-1.3136,0,0,2.24,0,0,-8
0.73,1.98568553831322,-1.54179699614173,-1.2916,0,0,2.16,0,0,-8
0.74,1.98568553831322,-1.54179699614173,-1.2704,0,0,2.08,0,0,-8
